,ale_score,abe_score,u_score,seq_score,u_average,a_average,g_average,c_average,BSP,BSlen,sRNA_MFE,mRNA_MFE,FA,After_BSP_sRNA_Ale,After_BSP_sRNA_Abe,Before_BSP_sRNA_Ale,Before_BSP_sRNA_Abe,After_BSP_sRNA_len,Before_BSP_sRNA_len,HE,is_upreg
385,-0.2641577522,-0.2108867925,2.355555556,0.02720754717,0.3396226415,0.2735849057,0.1886792453,0.1981132075,-24,8,0.0,0.0,54.72444247,-0.24059708241170974,-0.219504132231405,-0.315214775877814,-0.1480952380952381,55.0,42.0,-12.08,1
386,-0.2641577522,-0.2108867925,2.355555556,0.02720754717,0.3396226415,0.2735849057,0.1886792453,0.1981132075,-124,3,0.0,0.0,14.99954174,0.1111111111111111,0.15,-0.5509336020074046,-0.13183908045977008,15.0,87.0,-3.56,1
387,-0.2641577522,-0.2108867925,2.355555556,0.02720754717,0.3396226415,0.2735849057,0.1886792453,0.1981132075,50,17,-0.6000000238,-2.200000048,187.2902788,-0.24059708241170974,-0.219504132231405,-0.23734885803851322,-0.2109375,55.0,32.0,-14.89,1
388,-0.2641577522,-0.2108867925,2.355555556,0.02720754717,0.3396226415,0.2735849057,0.1886792453,0.1981132075,2393,17,-0.6000000238,-1.299999952,187.2229444,-0.24059708241170974,-0.219504132231405,-0.23734885803851322,-0.2109375,55.0,32.0,-18.42,1
389,-0.2641577522,-0.2108867925,2.355555556,0.02720754717,0.3396226415,0.2735849057,0.1886792453,0.1981132075,94,22,-0.6000000238,0.0,295.998848,-0.21906829992773064,-0.2311813186813187,-0.2284752284752285,-0.21666666666666667,52.0,34.0,-15.58,1
390,-0.2641577522,-0.2108867925,2.355555556,0.02720754717,0.3396226415,0.2735849057,0.1886792453,0.1981132075,569,23,0.0,-5.099999905,318.6233748,-0.078125,-0.34594594594594597,-0.4090491165934254,-0.14375000000000002,37.0,46.0,-13.07,1
391,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,462,16,0.0,0.0,169.2137328,-0.19545152881462916,-0.3109557109557109,-0.22727272727272727,-0.35200000000000004,77.0,25.0,-13.94,1
392,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,546,5,0.0,0.0,27.99918782,-0.1847203080009718,-0.30269090909090907,0.0,0.0,110.0,5.0,-8.98,1
393,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,1216,10,0.0,0.0,76.94969865,-0.16362776296551132,-0.38125,-0.29056119921661205,-0.1677714285714286,40.0,70.0,-14.82,1
394,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,895,7,0.0,0.0,44.90741016,-0.06896551724137931,-0.453125,-0.32693930869838317,-0.21333333333333335,32.0,81.0,-9.14,1
395,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,-55,18,-0.8000000119,0.0,207.9800244,-0.06896551724137931,-0.48333333333333334,-0.2976646604567432,-0.1653333333333333,30.0,72.0,-18.75,1
396,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,639,9,0.0,0.0,65.95070846,-0.06896551724137931,-0.3717948717948718,-0.30136222416390673,-0.16665753424657537,39.0,73.0,-10.96,1
397,-0.1789217292,-0.3245950413,2.491176471,0.007595041322,0.2809917355,0.1983471074,0.2561983471,0.2644628099,602,7,0.0,0.0,44.15038257,-0.1861702700616697,-0.2835714285714286,-0.3417040576297596,-0.16716981132075473,60.0,53.0,-13.51,1
398,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,1777,6,0.0,0.0,35.95668892,-0.16953648484748154,-0.35742753623188406,-0.4337011145405927,-0.12315789473684212,46.0,38.0,-7.34,1
399,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,-148,21,-5.599999905,-1.399999976,269.3188252,-0.15183281301210236,-0.3103225806451612,0.0,0.0,65.0,4.0,-11.19,1
400,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,190,11,0.0,0.0,90.8889467,-0.14896284964907833,-0.3802083333333333,-0.30476190476190473,-0.19499999999999998,48.0,30.0,-10.2,1
401,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,-11,4,0.0,0.0,20.99677748,0.23731171362750308,0.17250000000000001,-0.3451379878755093,-0.14357142857142857,16.0,70.0,-5.71,1
402,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,419,16,-5.5,-0.400000006,165.7521355,-0.1643107936314854,-0.2971714285714286,0.0,0.0,70.0,2.0,-9.22,1
403,-0.2641577522,-0.2108867925,2.355555556,0.02720754717,0.3396226415,0.2735849057,0.1886792453,0.1981132075,483,12,0.0,0.0,103.8044061,-0.247683179885804,-0.21354166666666669,-0.2284752284752285,-0.19909909909909912,56.0,37.0,-14.18,1
404,-0.2641577522,-0.2108867925,2.355555556,0.02720754717,0.3396226415,0.2735849057,0.1886792453,0.1981132075,419,10,0.0,0.0,77.37351589,-0.2774431384357198,-0.1930141843971631,-0.2284752284752285,-0.20462962962962963,60.0,36.0,-11.44,1
405,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,335,6,0.0,0.0,35.89097355,-0.16953648484748154,-0.35742753623188406,-0.4337011145405927,-0.12315789473684212,46.0,38.0,-7.83,1
406,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,1227,4,0.0,0.0,20.99490208,-0.14896284964907833,-0.3802083333333333,-0.4337011145405927,-0.12315789473684212,48.0,38.0,-4.74,1
407,-0.1587663521,-0.3111648352,1.93030303,0.04249450549,0.3626373626,0.2197802198,0.1868131868,0.2307692308,133,4,0.0,0.0,20.99380134,-0.14896284964907833,-0.3802083333333333,-0.4337011145405927,-0.12315789473684212,48.0,38.0,-4.74,1
408,-0.2641577522,-0.2108867925,2.355555556,0.02720754717,0.3396226415,0.2735849057,0.1886792453,0.1981132075,556,16,0.0,0.0,170.5782887,-0.078125,-0.4571428571428572,-0.6255388009335069,-0.09690860215053762,28.0,62.0,-17.59,1
